name,stars,text,timeSince,openStatus,key
teresa torres,3.0,Some of the machines dont work and there is no one supervising the kids playground the small kids get kick  a lot because big kids go in there with shoes,a year ago,Open,1000968819
Niharika Thakur,4.0,You can go here when kids get bore at home in winter ...you can spend 3hr there...they have lots of games for kids...I really love their pizza..It is so tasty,2 years ago,Open,1000968819
Kris,5.0,"This place was not packed like the others I've been too, especially on a Saturday.  The staff was very friendly and energetic!",2 years ago,Open,1000968819
Andrew,5.0,"They have lots of rides/games here. Recently brought in new ones too, so the selection is good. They also upgraded the turn system, so now everything is on a card, which is very nice and clean. We usually go in the morning, within 1 got after open. Can get very crowded in the afternoon.",3 years ago,Open,1000968819
Don Budz,4.0,This place has been here forever. I used to love this place as a kid. And their pizza is amazing. Hope its still around when i have kids.,3 years ago,Open,1000968819
Jignesh Kumar Patel,5.0,"It's nice place for kids.. yummy pizza
.love it",a year ago,Open,1000968819
Charles Murphy,2.0,My child had a great time playing with the games. I had a problem with retrieving tickets and asked for help. I asked twice and was told that someone was coming. They never showed. I went to the food desk and was completely ignored by three …More,3 years ago,Open,1000968819
Leo Czekalski,4.0,Great fun for the kids. Service a bit slow as 1 server for the entire party which really slows things down for food and drink refills.,a year ago,Open,1000968819
Lourdes M Rodriguez,4.0,Was ok. But games are more points now,a year ago,Open,1000968819
johnny astacio,3.0,place is ok... table placements are odd and maybe that day was just not cleaned but holy ash place was dirty now im not one to complain but damn it was that bad!! …More,2 years ago,Open,1000968819
Dawn Negron,3.0,Fun place for kids. A little unorganized,a year ago,Open,1000968819
Daniela Rybak,4.0,"Good time, decent food, wish they has some of the old stuff like there was when I was a kid",2 years ago,Open,1000968819
Selene Fierro,5.0,"People here are very nice, and I must say it's not slow and has great food.",2 years ago,Open,1000968819
Jason Leeman,2.0,"Small location which means less variety of games. Food wise I don't think anyone expects to much from Chuck E. Cheese in general. Kids love the place, but being a smaller location means when it's busy not a lot of space to move around.",4 years ago,Open,1000968819
Vegavibes DIY videos,5.0,Best place for kids under 10 years old.,a year ago,Open,1000968819
Kw Broker,5.0,Good service good food,a year ago,Open,1000968819
Krystyna Basara,3.0,"I love bringing my daughter here but they severely under staffed . Tables do not get cleaned off for hours. The poor workers are multi tasking and working food , prizes and customer assistance ..... they are probably under paid and over …More",2 years ago,Open,1000968819
Kristijan Jevic,5.0,Great place for kids to spend some time in a rainy afternoon. 11am-2pm all you can eat lunch for $7.99!,3 years ago,Open,1000968819
Patricia Brown,5.0,Always a good time with my kids.,a year ago,Open,1000968819
Thomas Brancato,5.0,Great place to let the kids run wild....,2 years ago,Open,1000968819
Dorota Wojcik,4.0,"The place is ok. Not a really big one, but my kid has fun there. Some stuff are neglectful though",3 years ago,Open,1000968819
delmy hernandez,1.0,"Customer service bad ,bathroom horrible ,mess all over",a year ago,Open,1000968819
Dawn Rogers,4.0,Bigger then most. Staff are ok but could be a little more helpful with issues.,2 years ago,Open,1000968819
Amanda Campanelli,5.0,Very clean. Kids loved it like always,2 years ago,Open,1000968819
Mari Feliciano,1.0,Woman at counter rude,10 months ago,Open,1000968819
johnctags,4.0,It is better than another CEC I have been to.,2 years ago,Open,1000968819
Michaella Conroy,5.0,The ppl who work there are really helpful and nice.,2 years ago,Open,1000968819
Dr. EZ of CEC 2,5.0,"I love this place, and the employees and managers like me and I helped them out some times and Wayne is my dad's name😁😁😁😁",3 years ago,Open,1000968819
Sal Gencarelli,2.0,The staff is not friendly at all. I specifically told them this was my first time going and they looked at me like they gave 2 sh÷=%. Didnt explain anything to me. My twin 4 year old boys were being cute and trying to talk to an employee …More,5 years ago,Open,1000968819
Snow White,1.0,Dirty  Games always broken. Staff look like they all on drugs slow  Motion  ...  not happy they never pick up the phones either  hate this place,2 years ago,Open,1000968819
Ely Rmz,2.0,Why is it open if the system is down? And kids can't even play. And the ice cream machine doesn't work and to get a simple soda you wait in line for 30 min.,2 years ago,Open,1000968819
The How To Mama,5.0,"We went to an early birthday party. It was clean, and my child had a lot of fun!.",2 years ago,Open,1000968819
Jessica Dawn,3.0,Staff is nice but the buffet is overpriced and not fresh.,2 years ago,Open,1000968819
Jennifer & Jimmy G,3.0,Got ptsd at this place l was in chuck e. Cheeses hell still get flashbacks. 20 years later,3 years ago,Open,1000968819
ROMELFX,4.0,Great place to bring your kids,3 years ago,Open,1000968819
Zenaida Carrero,5.0,"Best place to let the kids loose, they have so much fun, for 30 bucks he been playing for 2 hours now not bad and I'm sitting here reading",2 years ago,Open,1000968819
Hassain Muhammad,5.0,Fun filled for children,a year ago,Open,1000968819
Gavrily Fischer,5.0,"Friendly staff, nice and clean. Tickets are kind of rigged as it doesn't really depend on how you perform in the games. Is that how they do it in all Chuck E Cheese's today's days?",3 years ago,Open,1000968819
Petra Ovalle,5.0,My son had a lot of fun and all the machines worked,3 years ago,Open,1000968819
Michael Feldman,4.0,This Chuck E. Cheese's is a great  store it is  small but is  a good place. I will be back soon for great Chuck E. Cheese's.,3 years ago,Open,1000968819
MC Design,1.0,Been here twice. The place is always jammed packed way past capacity.,2 years ago,Open,1000968819
Rocco's Journey and Lily Rae of Sunshine,5.0,My son and I attend on Sensory Sundays. It shows your motto holds true. A kid can be a kid..... Any kid!! Thank you!,2 years ago,Open,1000968819
gc nj,4.0,Is Great  place  .... but  from Driven  you can't  see  really,4 years ago,Open,1000968819
